CLCLIE;CLNOM;CLPTT
AL074;MIROITERIE ALU DU SOLEIL;06790
AL075;ALBAIE SARL MENUISEIRE ALU;97420
AL081;ALUMINIUM ERIC SERRURERIE;06000
AL082;ALUFER CONSTRUCTION, SARL;13240
AL083;ALEX ALU;83270
AL084;ALCA SARL;83077
AL085;ALGECO SAS;71850
AL087;ALTEC;06000
AL088;ALU K INDUSTRIE;69440
AL089;ALU FERMETURE;06440
AL090;ALU PHIL SERVICES;06600
AL091;ALUPROSUD SAS;84200
AL092;ALUFERM;06510
AL093;ALPHALU 13;13680
AL094;ALU TECH NICE;06300
AL097;ALUMINI;06300
AL100;ALU BORMES STORES;83230
AL104;ALAPONT FRANCE;78000
AL107;ALU SERVICES MIROITERIE;06410
AL108;ALU-BAT S.A.R.L;13110
AL112;ALUMINIUM COULEUR ET DECO SARL;06340
AL114;ALU ALFREDI;06110
AL115;ALIZE S.A.R.L.;83500
AL116;ALU BELLA STORES;13240
AL119;ALLAUCH SERRURERIE SFAC;13190
AL120;ALPHA STORES - STORES SUD;20167
AL127;ALU PRO INDUSTRIE;34400
AL129;ALU VERRE;13110
AL130;ALU N°1;13700
AL133;ALCOLUX SARL;13770
AL137;ALEX ALU;83740
AL138;ALLIAGE;13320
AL141;ALPHA STORES;83100
AL142;COMPEX SAS;83920
AL143;ALUMINIUM 2000 VOIR MK001;13220
AL147;ALVAREZ FRERES;34135
AL150;ALPES FROID;04700
AL154;ALUMINIUM DURAND;83400
AL156;ALUMINIUM POSE SERVICE SARL;13003
AL162;SARL ALU VERRE;06200
AL163;ALUMINIUM DESIGN;13340
AL164;ALU SUD;20090
AL165;ALU ESPACE;84100
AL166;ALS CICIARELLI;30132
AL169;SARL ALCO CINTRAGE;83500
AL170;ALUSTOR;34400
AL171;ALUTECH PROVENCE;04100
AL172;ALPHALU 06;06800
AL174;ALU TECH;34830
AL175;ALES ALU FERMETURES;30100
AL178;ALUK SYSTEMES;69440
AL179;ALU 2F;13012
AL180;ALU CREATION;20600
AL183;ALSER;83120
AL185;ALUMINANCE;13400
AL189;ALPHA BOIS;13540
AL194;ALU GRANON;84300
AL196;ALPHA SERRURERIE;83600
AL197;ALBERSTORE;13400
AL198;ALPILLES FERMETURES;13940
AL199;ALPES MEDITERRANEE ELECTRICITE;13510
AL200;ALUMINIUM CONCEPT CREATION;13400
AL206;ALU STAR SYSTEM;13180
AL207;ALTERNATIVE SOLUTION;93000
AL208;ALU 2000;06200
AL210;ALPHACOMED;13704
AL211;ALYCASAR;13400
AL213;ALUMINIUM DUMAS SARL;13170
AL214;ALU LP;13015
AL215;ALPHA CLOTURE;13160
AL216;ALU BATIPRO SARL;13011
AL219;ALB;13011
AL220;ALDERBAT;13006
AL221;ALU CONCEPT REALISATION;13708
AL223;ALLO BAT;13015
AL224;ALU D OC;34420
AL225;ALUNNI BAGARELLI SA;06100
AL226;ALU FRANCE FERMETURE;06400
AL227;ALFRED STORALU;06800
AL228;ALLIANCE 52;13014
AL229;GARDON DEDRIC;83170
AL230;ALEXTHANE;59470
AL231;ALUDIF S.T.P;06700
AL232;ALMA METAL;13003
AL233;ALIANCE MULTISERVICES;06300
AL234;AL FER INOX CREATIONS;05300
AL235;ALF;06100
AL236;ALRIS COMMUNICATION;13600
AL237;ALU HABITAT;13012
AL238;ALU FP;83000
AL239;ASSICIATION ALIF;06200
AL240;ALU CONFORT;06200
AL241;ALCEA;91140
AL242;ALSEA;92230
AL243;ALLOUIS FACE INTEC;69120
AL244;ALLOVITRES;13590
AL245;ALUTEC CONCEPT;13240
AL246;ALUMAX;84400
AL247;ALPHA SERVICES;13821
AL248;ALTHEC SECURITE SYSTEMES;94290
AL249;ALRYUS;95110
AL250;ALLIANCE ALUMINIUM;06250
AL251;ALOES PROTECTION;34430
AL252;ALU DESIGN CONCEPT;06300
AL253;ENTREPRISE ALAIN ROCHER;13190
AL254;ALCYON ELECTRICITE;04340
AL255;ALUVERRES;13002
AL256;ALLO PATRICK MIROITERIE SARL;06110
AL257;ALU CONCEPT DECO;06390
AL258;ALBERTINI FERRONNERIE;20250
AL259;ALEX METALLERIE VOIR AL270;13220
