CLCLIE;CLNOM;CLPTT
RE091;RESO LPI ST ETIENNE;69802
RE092;RESO LPI VALENCE;69802
RE093;RTPS RENOV TRAVAUX PUBLIC SCE;13005
RE094;RENO DESIGN;13011
RE096;RENOV ACTION;13330
RE097;RENOBATI;13400
RE098;RENOVATION PEINTURE;13005
RE099;REALCO;31120
RE100;RESO LPI GRENOBLE;69802
RE101;REHAB 3000;13010
RE102;RENO SERVICES;13090
RE103;RENOVATION GENERALE;13003
RE104;SARL RENOV.ENTIER.VOTRE. HABIT;06330
RE105;SARL REBUFFO;83170
RE106;RENOV STORES ET FENETRES;06100
RE107;ETS REGINA ALU;83440
RE108;RES ETRA ASCENSEURS;06700
RE109;REALISATIONS ETUDES EQUIPEMENT;06730
RE110;R2A RENOV;06513
RE111;RESIDENCE DES ALPILLES;13103
RE112;REPAR'SUD;13950
RE113;RENOVATION LUXE MARSEILLE;13009
RE114;RENOVATION TRAVAUX DU BATIMENT;13006
RE115;RESOPHONE GROUP;77186
RE116;REMI BTP;13140
RE117;RENOVATION HABITAT;13610
RE118;RENOVATION LUXE MARSEILLE;13008
RE119;RESO;13395
RE120;RENOVE FACADE;20167
RE121;RESO CANNES;13395
RE122;RENOVATION PROVENCE BATIMENT;13008
RE123;RENOVANICE;06000
RE124;REGIE DES EAUX MONTPELLIER;34197
RE125;REPAR'PORTES SARL;13008
RE126;REGIE MUNICIPALE PORT CARNON;34130
RE127;REVERT;78350
RE128;RESIDENCE LA FAIENCERIE;92330
RE129;REEL SAS IDF;77290
RE130;RESO ATLANTIQUE;33270
RE131;RENOVA PLAN;13011
RE132;RENOVATIO HABITAT;13013
RE133;REVILOX;95640
RE134;RENOV MAISON SARL;13004
RE135;RRG MARSEILLE VALENTINE;13266
RE136;RESO IDF;77090
RE137;RESO LPI ARNAS;69802
RE138;RESO - AIX EN PROVENCE;13395
RE139;REGIE REGIONALE DES TRANSPORTS;06000
RE140;RENOVATION DE LA MEDITERRANEE;13010
RF001;RF PROTECH;44120
RF002;RFM ONGARETTO;97600
RF003;RF STORES;13127
RF004;RF MULTISERVICES BATIMENT;13010
RH001;ETABLISSEMENTS RH BIGAS;13005
RI001;SEE PIERRE RIVAS;30240
RI010;ETABLISSEMENTS RICHARDSON;13672
RI012;MONSIEUR RINALDI SERGE;13011
RI014;RIGAT FERMETURES EURL;13013
RI022;RIGAUD JOEL;13009
RI023;RISTAGNO MIROITERIE;83270
RI024;RICCI MIROITERIE;30200
RI029;FERRONNERIE ET METALLERIE SARL;13005
RI030;RICHOMME SOCIETE;83000
RI032;RJ RICHELMI;98011
RI033;RIVAUD GERARD;13250
RI034;RISTORTO MENUISERIE;83500
RI035;RICHARD MIROITERIE SARL;11000
RI036;RIJK ZWAAN FRANCE SARL;30390
RI037;RIVAL;13400
RI038;RISTALU;83270
RI039;RIVIERA MIROITERIE;06500
RI040;RIVIERA NEON SAM;98011
RI041;RIPERT ALUMINIUM;06200
RI042;RIVIERALU;06500
RI043;RIVIERA VITRAGES;06200
RI044;RIBEIRO FRERES SAM;98000
RI045;RIVIERA PROTECTION;06190
RI046;RINALDI STRUCTAL;68000
RI047;RIVAUD GERARD;13140
RK001;RK ENTREPRISE;13250
RM001;RM MULTISERVICES;13347
RM002;RM SERVICES;06000
RM003;RMT LOC;13390
RO002;ROIG ET MORE;13015
RO008;ROSSI HOTEL SAS;20100
RO011;RODRIGUEZ MIROITERIE;13004
RO016;ROUSSIN ANDRE COPROPRIETE;13016
RO017;ROLAND GARROS COLLEGE;06000
RO021;ROCABERTI ARC;83600
RO024;COLLEGE EDMOND ROSTAND;13388
RO027;ROSSI MENUISERIE;98000
RO028;ROSSO DENIS;13580
RO031;ROS ANTOINE (PRO-BATIMENT);13010
RO032;METALLERIE RODDE;13012
RO035;ROC AND SQUASH;04120
RO036;SARL ROGIER;13390
RO037;ROSSI CHRISTOPHE;83270
RO039;RODEO DRIVE;04100
RO040;ROQUEVAIRE ALUMINIUM;13260
RO042;ROXLOR;13600
RO043;ROHM ET HAAS FRANCE SA;06560
RO044;ROULETTES SERVICES SAS;59270
RO045;ROJIN SFAC;13240
RO046;SARL RODRIGUES;92190
RO047;STE D'EXPLOITATION DES;83000
RO048;ROCHE MICKAEL ANTHONY;13821
RO049;ROUZES RHONE ALPES;42000
RO050;ROBERT SA;95100
RO051;ROEY 13;13008
RP001;RPS;13140
RS001;R.S.F;06130
RS002;R SIMONE CONSTRUCTION;13004
RS003;RSG LES ESTUDINES OXFORD;13013
RS004;RSG ESTUDINES PROVENCE;13013
RS005;RSG LES ESTUDINES VITORIA PARK;13013
RS006;RS2I BÂTIMENT;91070
RS007;RSE RICHAUD SANGIARDI ENERGIE;13140
RS008;RSBY;93000
RT001;REGIE DES TRANSPORTS DE MLLE;13271
RT004;RTM SERVICE FACTURIER;13235
RT008;RTM SERVICE FACTURIER;13271
RT009;RTT RENOVATION;83910
RT010;RTE RESEAU TRANSPORT;78457
RU002;SOCIETE DES ETS RUMELLO;83062
RU003;RUBBO ATELIER;30340
RU004;RUFFA SARL;06000
RU005;RUIZ ALU RENOV;83260
RU006;RUIZ ALUMINIUM;83260
RU009;RUBEN SCI;13012
RU010;R & D;13720
RU011;RUE ET LORENZI SAM;98000
SA003;SAUVAT VERRE SARL;13011
SA004;SAINTS ANGES ET PETITS DIABLES;13008
SA009;SAUVAT MIROITERIE;13003
SA011;SAFM (CARNOUX);13470
SA012;SAM -STE D'ACTIVITE METALLIERE;13800
SA019;SARELEC;84000
SA021;EIFFAGE CONSTRUCTION PROVENCE;62971
SA024;SAVOM SARL;84007
SA025;SAVOIR FER;93370
SA030;SATE STE APPL TECH ELECT;13011
SA031;SAINT MAUR (MAISON RETRAITE);13382
SA032;SAMEDI 13;13013
SA037;SAN OUEST PROVENCE;13808
SA038;ALTEL ELECTRONIQUE SARL;13008
SA039;SAGI CONSTRUCTION SARL;06130
SA041;LA SALETTE SARL CLINIQUE;13012
SA042;SANTERNE MARSEILLE;13015
SA043;CLINIQUE SAINT MICHEL;13400
SA045;SAGET JEAN BAPTISTE;41100
SA046;SASU ARNAUD SERGE;13360
SA047;S A I T;13008
SA048;MR SANTIAGO;13700
SA058;SAC S.A.R.L;84000
SA060;SATTA MOHAMMED;13009
SA061;SOCIETE ARTISANALE MENUISERIE;13124
SA063;SANCHEZ PIERRE;13190
SA064;METROPOLE AIX-MARSEILLE PCE;13808
SA065;SAF MARSEILLE;13004
SA069;STORE DECOR FERMETURE;17480
SA070;METALLERIE PASCIA SALVAGNO;13008
SA071;S.A.M.E;83310
SA074;STE DES ANCIENS ETS GOMEZ;34070
SA076;SAV PROMOTION;13715
SA079;SAF SERRURERIE;13700
SA080;SAT BOIS DECO;13120
SA081;ASSOC SAINT MICHEL;13090
SA084;MENUISERIE SAHMAN SARL;13180
SA086;S.ALU;34340
SA087;SAFERM SARL;13140
SA088;LA SAMEX;13012
SA090;SABATIER GUILLAUME;13570
SA091;SAM DEPANNE;83240
SA092;SAVOIRFER.FR;83480
SA093;ACF INCENDIE;13016
SA094;SAMPEC BATIMENT;13510
SA095;SAT ELECTRONIQUE;06510
SA096;SAD;13008
SA098;SAD 13;69120
SA099;SATISFEU;13012
SA100;SAUR CTRE ALPES MEDITERRANNEE;31133
SA101;SAINT FRANCOIS CLINIQUE;06046
SA102;SAINT GEORGE CLINIQUE;06100
SA103;SABL'ART;06220
SA104;STE SAM;13800
SA105;SERRURERIE DE VILLE SANCHEZ;06000
SA106;SAP MIROITERIE;06670
SA107;SAM DES ENTREPRISES;98000
SA108;HYDRO BUILDING SYSTEMS FRANCE;31037
SA109;SAM AREA;98000
SA110;SAM SMET;98000
SA111;SADI RICHARD;98000
SA112;SATELEC;06370
SA113;SABA SAS;13016
SA114;SAVFIMA;31142
SA117;SAM DEPANNAGE;13008
SA118;SARL SAINT CHARLES/HOLIDAY INN;13001
SA119;SAINT MAX ALUMINIUM;83470
SA120;SARL SAVARY;30200
SA121;EPSA MARKETPLACE;91090
SA122;SAM SAMA ULNA;98000
SA123;SAQUI;22100
SA124;SAFE COTE D'AZUR;06160
SA125;SATELEC IDF;91170
SA126;SAGA AGENCEMENT;42800
SA127;SAPEC;13016
SA128;SASP OLYMPIQUE GYMNASTE CLUB;06201
SA129;S A G A;13360
SA130;SANTANDER;83980
SA131;SAMCRO SUD EST;13320
SA132;SAFETY PROTECT;78280
SA133;SAS 3 DURANTE IBIS STYLE NICE;06000
SA134;SATTA CONSTRUCTION;13119
SA135;SAMSIC SECURITE;35577
SA136;EIFFAGE CONSTRUCTION PROVENCE;62971
SA137;SAVELLI FERRONNERIE;20230
SA138;SAGGE INDUSTRIES;92500
SA139;SARTEL THD;44823
SA140;SAM GP CONSTRUCTION;98000
SA141;SALADE 2 FRUITS;13910
SA142;SAFE;91350
SA143;SAVOIR FAIRE ALUMINIUM;06340
SA144;SANTERNE IDF;92600
SB001;SBR CONSTRUCTION;13011
SB002;SARL SBR (MOUGINS);06254
SB003;SB MULTISERVICES;13124
SB004;SB ALUMINIUM;13340
SB008;SBM;13014
SB010;SBF SERVICES;78540
SC001;SCOMAP;13011
SC002;SCI AFP;06000
SC003;SC CONCEPT;13005
SC004;SCI LAURIA;13014
SC005;SCMV;13600
SC006;SCALU;13670
SC008;SCI BORDET;13012
SC010;SCCV PAVILLON DU GOLF;13008
SC012;SCHINDLER S.A.;78141
SC013;SCIENTELEC;83078
SC016;SCHMITT ET FILS;06000
SC018;SCI 3 A;06410
SC020;SCUTUM GROUPE;94536
SC021;SCALSEGGI MAXIME;06130
SC029;SCIALOM DANIEL;34430
SC031;SCF;13780
SC032;SCRD;13400
SC036;PARTNER SCAMI;13670
SC037;CHAFFRE CONDITIONNEMENT;13420
SC038;SCHRYVERS MENUISERIE;83330
SC039;SCOP TRIANGLE;13120
SC042;SCOLA CONCEPT;83085
SC043;SCAE;20290
SC044;SCOPELEC;31250
SC045;SCCV LA VOIE ROMAINE;06000
SC046;SCM;13960
SC047;EIRL SCANNELLA JOSEPH MFF;06600
SC048;SCI DES GRANDES AVENUES;13003
SC049;SCI CE SEM;13010
SC050;SC ST RAPHAEL;83700
SC051;SCUTUM INCENDIE - EGIDE;94536
SC052;SCF COURANT DU COURANT FAIBLE;92250
SC053;SC MENUISERIE SERRURERIE;07260
SC054;SOC 59;92500
SD003;S.D.I.M.;34900
SD004;SARL S.D.F.C;13120
SD005;STE EXPL ELECT TODISCO;13400
SD006;SDIS ALPES MARITIMES;06270
SD007;SD POSE;13008
SD008;SDIS DE L'HERAULT;34570
SD009;SOCIETE DES EAUX DE CORSE;20700
SD010;SDEL GRANDS PROJETS IMMOBILIER;92800
SD011;SDEL TRANSPORT EN COMMUN;94800
SD012;SDBTP;26350
SD013;SD DISTRIBUTION;77330
SD014;SDC;75014
SD015;SDEL ITT;92800
SD016;SDEL TRANSPORT SERVICES;92000
SD017;S D M L;13127
SD018;SDIS DU VAR;83007
SD019;SDEL RAIL;94800
SD020;SDEL IMTEC;92800
SD021;SDC LA BASTIDE NEUVE;13010
SD022;SDM STORES;13420
SE001;ETS SERRE;13120
SE002;SERRURERIE DE LA REPUBLIQUE;13002
SE003;SERVICES ET CIE;42530
SE004;SEGILPED;13400
SE007;SERRURERIE DE LA PARETTE;13830
SE008;SESAME AUTISME;30600
SE010;SEGISEM  ROZAT MICHEL;34000
SE014;SERVIERES MENUISERIE;13080
SE015;SERRURERIE DU MIDI;13320
SE016;SEP2C;13013
SE018;SET LEGO;13007
SE019;SECURITE AVENIR PROTECTION;83860
SE020;SEMRR SARL AERIA;13010
SE021;SERRURERIE SETOISE;34200
SE023;SELF SIGNAL;97460
SE024;SEDE ENVIRONNEMENT SCE ACHATS;62003
SE025;SERPAT TRAVAUX;13013
SE027;SEQUABAT SAS;34470
SE028;SERFIM TIC;69633
SE029;ASM;13270
SE031;SERRURERIE VAROISE AST;83200
SE033;SEQUOR;30290
SE034;SERRURERIE FER.DES PRATS;83500
SE036;SEMM STE EAUX DE MRS METROPOLE;13395
SE038;SEDEL;13845
SE039;SELARL MASSILIA;13012
SE040;SEVIGNE ASSOCIATION;13013
SE043;SEPRAL;06340
SE048;SETB COMMUNICATION;06700
SE049;SEPALUMIC INDUSTRIE;06371
SE050;SEVEN TECHNONOGY SARL;06700
SE057;SEQUFERM;13110
SE059;SERRURERIE ACTION ANTIVOL SARL;06100
SE062;SERRURERIE ALLADIO FILS;06110
SE063;SERRURERIE CLEDOR;06400
SE064;SERRURERIE METALERIE DE MONACO;98000
SE065;STE D'ENTREPRISES ELECTRIQUES;21078
SE075;SERO - PVC;43201
SE077;SECURIVOL - MR LOGEAIS MICHEL;13013
SE079;SEMEF S.A/GIE CLAIR OBSCUR;06150
SE081;SERRURERIE SAINT-LAURENT, SARL;06700
SE083;SERRURERIE VIEUX PORT;13007
SE085;SERVIBAT SARL;06230
SE086;SEBASTOPOL MIROITERIE;13004
SE088;IT - CE;13592
SE089;SEMISAP;13654
SE090;SAS SEPALUMIC DISTRIBUTION;06371
SE091;SEPALUMIC SYSTEMES;35890
SE092;NISCAYAH;13857
SE094;SAS SEPALUMIC DIFFUSION;06371
SE097;SOC.ETUDES FAB.TECH.IND.;13090
SE100;SERAMM;59711
SE104;SARL LUBRANO FRERES;34200
SE105;SEMAG;34500
SE107;SETEA;13003
SE111;SERRURERIE DE LA CADIERE;83740
SE112;SECURIT WERKE;34000
SE115;SERVICE ESSENCES ARMEES;13014
SE116;SERRURERIE TOUS SERVICES;13012
SE117;SERIES NOEL ETS;13006
SE118;SECURIT WERKE;34000
SE119;SEAMAN;34960
SE121;SESAM;13210
SE123;STE ELECT RESEAUX TELE INFORMA;84700
SE125;SERVICES ET CONFORT;83210
SE126;SELECTRIC PROTECTION;13860
SE127;S E T I;13400
SE129;SERIB SARL;13110
SE130;SEC;13700
SE131;SEB FERMETURES;83500
SE132;GEP ENERGIES;13797
SE133;SERVICE PLUS SARL;13006
SE134;SERALUX;91140
SE135;SERRURERIE MULTIS POSES EURL;83560
SE136;SEGELEC;06300
SE137;SEGELEC ASCENSEURS;06390
SE138;SENELEC SARL;06000
SE139;GROUPE SENTINELLE;06560
SE140;SEMEC SCE COMPTABLE;06403
SE141;SERTEC SFAC;83300
SE143;SERVICES LO CLAPAS BSM;34570
SE144;SERRURERIE FERRONERIE LEMAIRE;13550
SE145;SEDEL GENIE ELECTRIQUE;13845
SE146;SERRURERIE VANAUD;34130
SE147;SECURE SYSTEMS & SERVICES;13100
SE148;SEMEF - ALKAHEST;06371
SE149;SEJ;67720
SE150;SEM DES CIMES DU MERCANTOUR;06420
SE151;SERRURERIE MONEGASQUE SARL;98000
SE152;ADAPEI VAR MEDITERRANEE;13330
SE153;SERMOFREDE SARL;13190
SE154;SERVAUX SAFETY ET SHIP SCE S4;13016
SE156;SEMA PROTECTION;13008
SE157;SELVEA;34740
SE158;STE D'ELECTRICITE TECHN DU BAT;83470
SE159;SECURITEC;84170
SE160;SERFATEC SAS;13002
SE161;SERVICE PLUS ASSISTANCE;75019
SE163;SERCO HOLDING;06230
SE164;SERRURERIE SERGE;13011
SE165;SERENA LE RELAIS;13009
SE166;SAS SECURITAS TECHNOLOGIES;92137
SE167;SERFIGROUP;06200
SE168;SEDIB;94203
SE169;SEFRA;94100
SE170;SECURA ONE;91940
SE171;SEINEM - VINCI FACILITIES;77183
SE172;SEMERU FAYAT;91175
SE173;I-SECURE;75020
SE174;LES ALGORITHMES;95100
SE175;SERRURES SYSTEMES SERVICES;75012
SE176;SECUR & COM REIMS;51100
SE178;SECMA-PICTET IDF;93210
SE179;SEITA GROUPE IMPERIAL TABACCO;75014
SE180;SEDM;13009
SE181;SAS SECURITAS TECHNOLOGIES;92137
SE182;SERRURIER MARSEILLE;13480
SE183;SERTINOX;83310
SE184;SECURITAS FRANCE;92137
SE185;SET SUD EST;13400
SE187;SERRURERIE MENUISERIE MARTEGAL;13500
SE188;SECTP;13080
SE189;SERBAT;13008
SE190;SERRURRERIE IPLIKDJIAN;83470
SE191;SERRURERIE PARE;06310
SE192;SERRURERIE BARTHELEMY;13003
SE194;SERABA;78660
SE195;SERVICES MAINTENANCE ENERGIES;34070
SE196;S E R G ALUMINIUM;07260
SE197;SERRURERIE MOZART;75016
SE198;S E R V I T;13013
SE199;SERIANCE;06600
SE200;SERVICE LANGUEDOC DISTRIBUTION;34110
SE201;SERRURERIE DE L'ETANG SAS;13110
SE202;SERRURERIE VITRERIE PHOCEENNE;13800
SF001;SFAB SARL;69600
SF002;SERRURERIE FERMETURE SFB;13140
SF003;SFM DU LUBERON SARL;84803
SF004;SFM (SOCIETE NOUVELLE);13013
SF006;SFA BERGER;13600
SF007;SFDS SARL;06600
SF008;SERRURERIE FERMETURES ALPES;06340
SF009;SFM STE FRANCAISE MENUISERIE;13127
SF010;DAI CHEZ DSC;60107
SF013;SFPP;34130
SF014;SFERRAZZA ET FILS;83420
SF015;SF POSE 83;83170
SF016;SFP ISOBAT;92230
SF017;SERRURERIE SFM;94440
SF018;SAS SFAC;20290
SG005;SGAP SECRETARIAT GENERAL;13313
SG006;SGBH;13127
SG009;SG MENUISERIES;13011
SG010;SG2C;13013
SG011;SGE BATIMENT;13009
SG013;SGTE;13400
SG014;SGM BENISTI;13800
SG015;SGAP 13 PLATEFORME CHORUS;13309
SG016;SGAP DE NICE;06300
SG017;MRC MIDI RHONE COMMUNICATION;30133
SG018;SGT;97200
SG019;SG FERMETURE;06000
SG020;SGI & G.GICQUEL;94048
SG021;SGR;93100
SG022;SGAMI SUD - CSP CHORUS;13311
SG023;SGTM;83520
SG024;SGB;13006
SH003;STE HYEROISE DE METALLERIE;83400
SH004;STE NLLE MONACO SHIPCHANDLER;98014
SH005;SH RENOVATION;38100
SH006;SHT SERVICES;13500
SI001;SILVANO;84000
SI007;SIMCO TECNOCOVERING SRL;33034
SI008;SIMALU;20600
SI010;SIGMA;20600
SI012;SICAB SARL;20167
SI015;SIAREP NICE;13200
SI020;SICOMEFER;06700
SI021;SCIBILIA MULTI-SERVICES;13260
SI022;SIP SARL;13011
SI030;SI AL SARL;20620
SI033;SIAM PROVENCE SAS;83000
SI035;SIAMEP;13010
SI036;SIEB;13011
SI038;SARL SIAREP STE NOUVELLE;13200
SI040;COMASU;83175
SI041;COMASUD;83175
SI043;EMATECH SARL;13013
SI044;SIMARRO SARL;13010
SI045;SIGAMA;13008
SI046;SIPDEG ELECTRICITE;13010
SI047;SOCIETE INDUSTRIELLE DE;83300
SI048;SIMEL SARL;13112
SI049;SIFAP SARL;20250
SI051;VOIR SI063;20090
SI052;SIAP PEUGEOT;13008
SI053;SIMETAL FORMES;94430
SI054;SIBELL;13685
SI055;SIMETRIK;13120
SI056;SIVOM ABADIE;06730
SI057;SIMPA;06800
SI058;SIVOM  VAL DE BANQUIERE;06730
SI059;SIGMA INDUSTRIES;13600
SI060;SIDEME;33520
SI061;SIMPLEX;13010
SI062;SIMOS RENOV;13013
SI063;SIPP;20090
SI064;SIPE;20090
SI065;SILICON MOBILITY;06560
SI066;SILVER TRAVAUX;13011
SI067;SINHATEC;06220
SI068;SIPPRO;34670
SI070;SIPARTECH;75009
SI071;SICATEL GROUPE GMS;93110
SI072;SIIV;95190
SI073;SIE;93130
SI074;SAS SIMIL;13011
SI075;SIP OMNIUM FACADES;13011
SI076;SIAMETAL;20260
SI077;SASU SIMI;13290
SI078;SINTO;59290
SJ001;SJBM AMENAGEMENTS;13590
SK001;SK SERRURERIE EURL;13700
SL002;SLK INGENIERIE;06550
SL003;SL PRESTIGE ATELIER;06410
SL004;SLIDING SYSTEMS;13600
SL005;SLAVKO INSTALLATION MAINTENAN;06700
SL006;S&L INSTALLLE;83170
SL007;SASU SLI;13420
SM001;SMMM;13480
SM005;SMAB SARL;13011
SM007;SMO;13112
SM008;SMATE SA;83140
SM009;SMCR STE MERID CONSTRUCT RENOV;13014
SM016;SMD PROVENCE;13011
SM018;SMA (STE MARTEGALE D'ALU) SARL;13500
SM020;ACCESSITE;13923
SM021;S2MA SARL;13880
SM022;SMAC EUROFAÇADE;69960
SM023;STRUCTURES METAUX DE MARSEILLE;13008
SM024;SMC BTP;13857
SM026;SMAC AIX EN PROVENCE;59092
SM027;SMAB S.A;84300
SM028;SMP;13002
SM030;SMD FERMETURES;34400
SM032;MONA LISA ETUDES ET PROMOTIONS;13591
SM033;STE DE METALLERIE GARGINI SARL;30034
SM034;SMIS;13300
SM039;SM SERRURERIE;13300
SM041;SMA PROVENCE;13132
SM042;SM MENUISERIES;83130
SM043;SMS;13190
SM045;SMAP;13010
SM046;SMART PACKAGING SOLUTIONS;13106
SM047;SMTM;34078
SM053;SMA GRAVURE;13880
SM054;SMR SERRURERIE MENUIS RENOV;13011
SM055;S M V SARL;06700
SM056;SME  MONACO;98000
SM057;SM2E;06200
SM058;STE MERIDIONALE ELEC BAT INDUS;13004
SM059;SMTS;30290
SM060;SMB INCENDIE;13170
SM061;SMV;75010
SM063;SERVICE MENUISERIE SERRURERIE;13800
SM064;SMF SANTABARBARA;34400
SM065;SMP 06;06200
SM066;SMS FERMETURES;13001
SM067;SMB;77290
SM068;PROLIANS SMG;38432
SM069;SMG 13;13360
SM070;SMES;06190
SM071;SMV PACA;13009
SM072;SAS SMFD SERRURERIE DELMAU;66700
SN001;SNCF CTRE COMPTA FOURNISSEURS;69908
SN007;SNCF MOBILITES;69908
SN008;SNEF - SERVICE 4U;13010
SN009;SNCF BUREAU DES ACHATS;13347
SN011;SNCM FERRYTERRANEE;13226
SN016;SNCF VOYAGEURS;69908
SN017;SNES;13190
SN018;GROUPE SNEF 3D;83500
SN023;SNEF - SERVICE 3D;83500
SN024;SNEF SERVICE MVR MARSEILLE;13003
SN025;SN PAP ALUMINIUM;83210
SN026;SNIA;75970
SN027;SNPS;83260
SN028;SNEF - SERVICE 02;13010
SN029;SNEF - SERVICE 01;13015
SN030;SNEF - SERVICE 95;13270
SN031;SNEF SERVICE 4B;83500
SN032;SNEF SERVICE 1A;13003
SN033;SNEF NICE SERVICE 4J;06200
SN034;SNIA POLE D'AIX EN PCE;13727
SN035;S.N.C.F. - NICE;06008
SN036;SNEF;83500
SN037;SNC ELYSEE PALACE;06000
SN039;SNCF RESEAU;69908
SN040;SNEF - SERVICE 6E;13015
SN041;SAS WATT DESIGN BUILD;83500
SN042;SNDG;13600
SN043;SNEF SERVICE 5W;13010
SN044;SNCC;13007
SN045;SNEF CONNECT;13015
SN046;SNS SOLUTIONS;13011
SN047;SNHP;13740
SN048;SN CORSE VITRAGE;20620
SN049;SNEF AGENCE DE NICE;06200
SN050;SNEF NUCLEAIRE REGION EST;13115
SN051;SNER;14320
SN052;SNC REYNAUD;94150
SN053;SNEF 3H VILLEPINTE;95911
SN054;SNEF MONACO;98000
SN055;SNEF 8M;31201
SN056;SNEF VILLEPINTE MAINTENANCE;93290
SN057;SNCF GARES ET CONNEXIONS;69908
SN058;SNCF VOYAGEURS;69908
SN059;SNEF POWER SERVICES;13015
SN060;SNEF POWER SERVICES;13015
SN061;SNEF CONNECT 7M;31201
SN062;SNEF GROUPE;83500
SO001;SOTIM INDUSTRIE;13165
SO002;SODIMETAL;31650
SO004;TOKHEIM SERVICE FRANCE;13710
SO005;SOGIMA;13007
SO006;SOLCOMESER;13676
SO008;SOMEVA;83500
SO014;SONIFERBA;30000
SO016;SOMAPOSE SARL;13011
SO017;SOGUERO MIROITERIE;13012
SO022;SOMEPRO (STE METALL.PROVENCE);13312
SO025;SOMIBAT;13685
SO026;SOCIETE MARSEILLAISE DE CREDIT;13006
SO029;ADOMA;94157
SO030;SOLUTION MENUISERIES;20200
SO031;SOBAT;34500
SO034;SOCOR;13007
SO036;SOPHOCLE;13016
SO037;SOLARIS ENERGIE;06200
SO039;SOCADIS SAS;13090
SO041;SOC DU PORT DE SAINT AYGULF;83372
SO042;SOCIETE BATIMENT VAROIS;83140
SO043;SOCIETE NAUTIQUE DE MARSEILLE;13007
SO044;SOCOFER SARL;20290
SO048;SOTRALU;20167
SO049;SOKUATRO;06800
SO051;SOCOPRO;13012
SO053;SOMAPEINT (STE MLL PEINT SARL);13001
SO054;SARL SOMODE;83700
SO057;SOLER JOSE MENUIS.METALLIQUE;30140
SO060;S2M SOUDURES SARL;06000
SO063;SOCIETE DES EAUX DE MARSEILLE;13254
SO067;SOCOMELU (STE CONST MET LUB);84120
SO073;SOCIETE TEXTILE INDUSTRIELLE;13420
SO080;SOMPAL SARL;83480
SO085;SOCIETE DES BAINS DE MER;98000
SO086;SOLOPARK;06400
SO087;SO.HI.DEL;83420
SO088;SOCOGEA;13009
SO089;SOGECOM AB SERRURE;13008
SO090;SOREF DISTRIBUTION;78100
SO092;SOWOOD;13700
SO093;SOMELEC ENTREPRISE;06097
SO094;MIROITERIE JEAN-SOGUERO DESIGN;13012
SO095;SOLEAM;13232
SO107;SOBAIE;13011
SO108;SOGEPELEC;13016
SO112;SORI SAS;13724
SO115;SIDONIE SAS;85270
SO116;SORIA FRERES S.A.R.L;13003
SO117;SOPROBAT S.A.R.L;13009
SO118;SOPREN;13002
SO122;SODALSAC EURL;84000
SO123;SARL ETS SONZOGNI PIERRE;34760
SO124;SORIA B SARL;13170
SO125;SOMERBAT CHEZ PROSERV;13016
SO132;SOMAPART;13380
SO134;SOC NLLE ALPES MEDITERRANEE;13715
SO135;SOTIM CRTB;13170
SO136;SOUDECOUP;13120
SO137;SA SOLATRAG;34302
SO138;SOCIETE MIROITERIE ALUMINIUM;34130
SO139;PULLMAN HOTELS ET RESORTS;13007
SO142;SOCIETE D'ELECT.PROVENCALE;13013
SO144;SOMAP;13510
SO147;SOMIMAC MIDI MACONNERIE;13013
SO150;SORBI ERIC;84240
SO151;S P T E;13320
SO153;SOLER TRAVAUX;13012
SO154;GEDI;13270
SO155;SODIVER LANGUEDOC;31650
SO156;SORROCHE IMMOBILIER;13007
SO158;SONTEC;13700
SO159;SOREBAT;13012
SO161;SORG'ALU;84705
SO163;SOFITEL MARSEILLE AEROPORT;13728
SO166;SODALSAC CLES EXPRESS SARL;84000
SO167;SOM;13799
SO168;SOGEA SUD;34078
SO169;SOS VOLTIGE;13013
SO170;SOLETANCHE BACHY FRANCE;83000
SO172;SOFFITTO;83130
SO173;SOGETREL SAS;54000
SO174;SOS SERRURERIE ELECTRICITE;13006
SO175;SOLUTION ACE;26100
SO176;SOLUGLASS PROTECT;84300
SO177;SOCOGEBAT;13008
SO178;SOCOVA;13560
SO179;SOMACEM;13006
SO180;SOCIETE ROCATE L2;13012
SO181;SOMESII;06700
SO182;SOLA DESIGN;13005
SO183;SOFERM;13320
SO184;SOUDURE DURET;13011
SO185;SOLTA NET;34200
SO186;SOMEFI;69400
SO187;SOVVA;78190
SO188;SODEXO ENERGIE & MAINTENANCE;78043
SO189;SOTOYA CONSTRUCTION;13600
SO191;SODIMAV ILE DE FRANCE;78920
SO192;SOBAC;91350
SO193;SONAPRO LE PONTET;92546
SO194;SOFREN CONSTRUCTION;13012
SO195;SOLER SERRURERIE;13190
SO196;SO SMOKE DEVELOPPEMENT;13001
SO197;SOTOBAGNE;13400
SO198;SOCIETE 3C;91720
SO199;SOFRIM;94200
SP002;SPIE INDUSTRIE ET TERTIAIRE;35093
SP003;SPME;13270
SP004;SPARE ISOL EURL SOVEAL;83480
SP006;ENTREPRISE SPADA;06200
SP009;SPCM (STE PROV CONST METAL);30300
SP011;SPIE SUD OUEST SAS;31029
SP012;SPT MARITIME ET INDUSTRIEL;13344
SP013;SP2M;13010
SP018;SPMP;13012
SP019;SPIE SUD EST;69551
SP025;SPP COMMUNICATION;13730
SP031;SP ALU;83330
SP032;SPJ MENUISERIE SARL;83130
SP034;SPG FERRONNERIE;30660
SP035;SPCR;13003
SP036;SPIB SARL;13016
