CODE;NOM;CODEPOSTAL;
CO343;COLLEGE LE PRE DES ROURES;6650;
CO346;SCS COUTURIER ET CIE GSMA;98000;
CO348;COVERIS;33170;
CP008;C2P;13170;
CP013;CPA NEGOCE;91650;
CR001;CARSAT SUD EST;13352;
CR004;CREATION ESPACE BUREAU;13090;
CR018;CRNA/SE;13617;
CR050;CROIX ROUGE FRANCAISE-06;6250;
CR051;DIRECTION DU CREPS PACA;6601;
CR061;CRITEL;54521;
CR065;CONECTIA CRH IDF;94150;
CV003;CV3E;13730;
CY002;CYC;75011;
DA001;DATAC SERVICES;6270;
DA028;DACOS ENTREPRISE;84200;
DA046;SERRURERIE DAVTIAN;13006;
DA049;DANAE;75017;
DA051;DAY BUILDER GROUP;13007;
DA053;DAT VERRIERES;45750;
DD006;DDSP13;13014;
DE013;DEVAUZE;13010;
DE022;DELTA SERTEC - MARSEILLE;13013;
DE028;DESIGN D'ESPACES;83600;
DE037;DESCAMPS PROTECTION;13012;
DE058;DESCOURS ET CABAUD P.A.C.A;83278;
DE064;PARTNER DELTA BOIS;30000;
DE072;DEGIVRY;6000;
DE096;DEF DETECTION ELECTRONIQUE FRA;91882;
DE099;DESIGN BY PERSPECTIVES;13090;
DE111;DELAGARDE;13852;
DF002;DFC2 DIFFUSION;44120;
DI006;DIFRAL SAS;6515;
DI010;MIROITERIE DIPASQUALE;84130;
DI039;DIP S.A;13367;
DI052;DIGI DIFFUSION ET COMPAGNIE;75012;
DL004;DL INDUSTRIE;93130;
DO004;DORMAKABA FRANCE;94046;
DO011;DOGUYAL SARL;13008;
DO015;D & O MANAGEMENT SAS;83440;
DO019;DOMOSERVICES;13011;
DR006;DREQ MENUISERIE SASU;13016;
DR009;DRPE HOTELLERIE SARL;13001;
DS007;DSM SERRURERIE DEPANNAGE;13010;
DU022;STE NOUVELLE DUCROS;34090;
DU025;DUO CONFORT;6410;
DU031;DUBE ATOUSERVICES SARL;83130;
DV001;DIFFUSION VAROISE MENUISERIE;83300;
EC018;ECOLE HAMASKAINE;13012;
EC022;BALLET NATIONAL DE MARSEILLE;13008;
EC025;ECOTEC 13;13400;
EC026;ECOTEC 06;13400;
EC029;ECF INGENERIE;93692;
EC030;ECOLE NATIONALE DE DANSE;13008;
ED006;EDIFICE SARL;13330;
ED013;SARL EDWARD;13006;
ED015;EDISON;34430;
ED016;EDC ALTERNATIVE;6800;
EE002;EEAP LES CALANQUES;13009;
EF003;EIFFAGE CONSTRUCTION;62971;
EG014;VINGLIN DAMIEN;20167;
EH002;EHPAD-LA BASTIDE DE PEGOMAS;6580;
EH006;EHPAD JEHAN RIPPERT;84490;
EI001;LYCEE GUSTAVE EIFFEL;13400;
EI010;EIFFAGE CONSTRUCTION VAR;62971;
EI023;EISA;83440;
EL004;ELOREM ALU;13590;
EL012;ELECTROTECH;13012;
EL015;ELIOTHEC;13012;
EL016;ELECTRIC AVENIR SARL;13010;
EL017;ELECTRICITE INDUST. JP FAUCHE;13100;
EL036;JP FAUCHE MARSEILLE PROVENCE;13011;
EL037;AEGE;69200;
EL049;ELIZI;91410;
EM014;EMPR 2000;13010;
EM019;EMAVER MIROITERIE;83079;
EM021;EMR ASCENSEURS ETS RAYMOND;6000;
EM028;EMC MENUISERIE;13003;
EM029;EMI TERTIAIRE;77183;
EN018;ENERGITEC ELEC;83078;
EN035;ENERGILEC;95120;
EP001;EPI EURL;30660;
EP005;PIERRE NOUGIER SARL;13013;
EP018;EPE;94100;
EP019;EPLS;93106;
EP020;EPA MASSE DES DOUANES;75927;
EQ010;ASSOCIATION EQUI LIB;13190;
ER007;E.R.M.A.;34170;
ER010;ERTIC INDUSTRIE;13120;
ER017;ERI;94120;
ER019;ERN;6000;
ES015;LE VAL D'ESTREILLES S.A;6580;
ES017;ESPACE RENOVATION S.A.R.L;13006;
ES023;ESPACE ALU ST LAURENT;6700;
ES038;ES RENOVATION;13011;
ES045;SARL ESPACE RIVIERA;6200;
ES047;ESPACES CONCEPT;13400;
ET002;ETPM LAUMET;13370;
ET003;ETELEC;13010;
ET026;ETMB;95240;
ET027;ETPE;6670;
EU001;EUREKA BATIMENT;83136;
EU013;EUROPLIAGE;6700;
EU021;EUROP TP SAS;6200;
EU025;EURACHATS;13010;
EU042;EUROP'ELEC SARL;6516;
EU046;EUROPE GAMMES;13010;
EU050;EUROGEM;93300;
EV004;EVANGELISTA SARL;13120;
FA019;FAM;13400;
FA041;FASS;75012;
FA045;FACILITESS;75015;
FA048;FACAL ENGENHARIA DE FACHADAS;4780;
FC004;FCMA;69390;
FE016;FERMECO SAS;13127;
FE037;FERDALU;13014;
FE047;FENETRES ISOLANTES INDUST.;6371;
FE055;FENETRE IMAGINE;6390;
FE062;FELICES ET FILS;83310;
FE075;FERMEO JLM SARL;13590;
FE086;FERRONNERIE VALAITIS;83310;
FE097;FERBAT QUINCAILLERIE;67025;
FE109;FEDER'IT;13120;
FI006;SARL LA FILOSETTE;13730;
FI023;FIRM SARL;69190;
FI025;F2I SARL;13340;
FI028;FIL FRANCE;85300;
FI038;FIVO SERVICES;95640;
FI030;F2I ILE DE FRANCE;91220;
FI031;FIRAC TECHNOPARC;78306;
FI034;FIDUCIAL SECURITE SYSTEMES;69336;
FI036;FICOGRAPHIE;13110;
FL006;FLORENTIN MENUISERIE EBENIST.;83310;
FM001;FM BAIES;20167;
FM006;FMS;6200;
FM008;FMIB;94450;
FO006;MAISON D'ENFANTS LES ST ANGES;13008;
FO018;FOYER LES VIOLETTES;13012;
FO021;FORMATION ET METIER TBH;13011;
FO025;LSB LA SALLE BLANCHE SAS;84400;
FO026;FONCIA VIEUX PORT;13009;
FO032;FOYER MAISON PARC AUX CYPRES;84530;
FO033;FONDATION ARMEE DU SALUT;34093;
FO034;FOYER DEPTAL ENFANCE DU GARD;30000;
FO046;FONDERIE DE MONACO;98000;
FO053;FONCIA GRAND BLEU;83120;
FO057;FOUASSIN ENTREPRISES;91421;
FO058;FONTBONNE ET FILS;69153;
FO060;FONDATION DE NICE PSP ACTES;6300;
FR008;FRANCIAFLEX;45430;
FR018;FRANCE CLEF SARL;6000;
GA021;GASPICH ET ROBBA SARL;6300;
GA026;CAM CLOISONS AMOVIBLES MED;13360;
GA027;GARABELLO S.A.R.L;13240;
GA050;GAZOCEAN - GASELYS;13344;
GA059;LA GARRONNIERE;34130;
GB004;GB CONCEPT;34130;
GC003;GCC;13846;
GC007;GCP 13;13009;
GC008;GCV SARL;20167;
GC009;GCC VITROLLES;13846;
GE022;GENDARMERIE NATIONALE;13387;
GE033;GEMTECH PROVENCE;13014;
UN026;UNION MATERIAUX;34960;
GE056;GERIN FRERES;20600;
GE059;GENELEC;95370;
GE060;GEOMS;93100;
GE064;GENTLEMAN SERRURIER;13013;
GE065;GENERALE DE RENOVATION;13007;
GH002;GHEZZI PERE ET FILS, SARL;30700;
GI004;GIL METAL;6100;
GI005;GIOVANNI FERRON D'ART SARL;6300;
GI010;GI SURETE;77560;
GI025;ENTREPRISE GIRARD SNC;84000;
GL009;MIROITERIE GLASSUD DESIGN;84700;
GL010;GLAURALEX SAS;13011;
GO002;GOLDSTAR RESORT;6000;
GP002;GPM OFFICE;75009;
GR006;SARL GROSJEAN;84600;
GR030;GRAND SUD HABITAT;13010;
GR032;GRAND DELTA ALUMINIUM;13400;
GR047;GROUPE GOYER;41120;
GR048;GROUPE DE MUSIQUE MARSEILLE;13003;
GS009;GS DECORATION;13012;
GT013;GTIE TERTIAIRE IDF;91160;
GT014;GTIE AIR & DÉFENSE;91090;
HA004;HARMONIE DE L'HABITAT S.A.;13120;
HA022;HAFEL ERREBI;13011;
HE019;HERMI ALUMINIUM EURL;83550;
HE022;SAS HED-PMN;13015;
HE023;EHPAD LES JARDINS D'ANIANE;34150;
HE026;HELIOM;78500;
HE027;HERVE THERMIQUE;37300;
HG001;H.G.O;35230;
HI003;SOCIETE HIPPIQUE DE MARSEILLE;13387;
HI004;HITEC;77270;
HM003;HMF;13009;
HM004;HMS HABITAT MULTI SERVICE;13880;
HO002;HOPITAL LOCAL DE SAULT;84390;
HO023;HOPITAL LOCAL LUNEL;34400;
HO027;HOROQUARTZ;85205;
HO028;HOPITAL PRIVE CLAIRVAL;13009;
HO044;HOTELIERE CAMPO DELL'ORO;20700;
HO047;HOTEL PULMANN ROISSY CDG;95935;
HO051;HORIZON TECHNOLOGY;94290;
HT002;HTO;13380;
HY002;HYARDET TE 13;13400;
IB006;IBC;83136;
IC010;INGENIERIE CONSTRUCTIONS METAL;13100;
IC014;ICM;34298;
ID009;IDS ALESSIS SERRURERIE;83000;
ID017;IDEX ENERGIES;92513;
ID021;3ID RENOVATION;26320;
ID023;ID NEO;92350;
IF003;IFSI SAINT JOSEPH;13005;
IL002;ILEX MONACO;98000;
IL003;ILIAD;75008;
IL004;ILEX;6600;
IM014;IMPRIMERIE CARACTERE;13011;
IM016;I.M.E LA MARSIALE;13012;
IM019;IME TROIS LUCS;13012;
IM021;IME VALBRISE;13011;
IM025;IMMO DL;13002;
IM027;IMMO 2 SCI;13012;
IM031;L'IMMOBILIERE SARL;13013;
IM039;IMMALU;6600;
IN004;INSTITUT JEAN PAOLI-CALMETTES;13273;
IN049;INSTALLATION BOUTIQUE FRANCE;47500;
IN065;IM2S PROTECTION INCENDIE;6610;
IN068;INSERM DR MONTPELLIER;34394;
IR001;IROKO, SARL;13670;
IS013;ISOFERM FRANCE;13580;
